Date,Open,High,Low,Close,Volume,log_return,log_return_open,log_return_high,log_return_low,log_return_volume,log_return_forecast,sma,wma,ema,dema,tema,aroon,rsi,willr,cci,ad,mom,slowk,slowd,macd,fed_funds_rate,^N225,^IXIC,^FTSE,^SPX,^DJI
1999-02-24 05:00:00,23.109102143490627,23.291717174796947,22.777074813842773,22.777074813842773,3602600,-0.018772923188125994,-0.007871047888296925,-0.0021358009483501196,-0.010152180144219121,0.1006650790733091,-0.015424313693090856,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,4.76,-0.010063828296924149,-0.015679851240370607,0.02445798628441608,-0.014077780858909051,-0.015282108382447061
1999-02-25 05:00:00,22.51145647615084,22.57786195248167,22.146226356331283,22.428449630737305,5067200,-0.015424313693090856,-0.026202215761483183,-0.03090949148694452,-0.028087425177720723,0.3411325897949174,0.011041577783351261,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,4.76,0.00797897783279119,-0.005383329011501154,-0.016158141057744144,-0.006716254612827944,-0.003552179028762532
1999-02-26 05:00:00,22.478250941978892,22.810278282333087,22.17942633566012,22.677467346191406,3607200,0.011041577783351261,-0.0014761394153056146,0.01024136966501201,0.0014980032338370607,-0.33985654867750087,0.0007314690224488474,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,4.76,-0.007137154306388065,-0.016811359768258455,-0.005072037444446399,-0.005387947511782114,-0.006400709680128113
1999-03-01 05:00:00,22.511446301921406,22.71066264087646,22.395236770864287,22.694061279296875,3176200,0.0007314690224488474,0.001475687457355146,-0.004376702170564563,0.00968317454039912,-0.12724633443032823,-0.004398549760616558,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,4.81,-0.010199015268773846,0.0031200439014801755,-0.018666804736449463,-0.0017538340747184575,0.0019537168256387747
1999-03-02 05:00:00,22.66086499888962,22.74387183038738,22.461648603294982,22.594459533691406,3266600,-0.004398549760616558,0.006615523430586273,0.0014612049515417373,0.002961056274899095,0.02806417494249276,-0.004418152088860198,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,4.81,-0.021369712340826075,-0.015875711446640142,6.597851108873706e-05,-0.008660904159638369,-0.0029179863853829244
1999-03-03 05:00:00,22.52805670988075,22.64426628760306,22.229232081451975,22.494853973388672,3516200,-0.004418152088860198,-0.005877930535386736,-0.0043890631699586655,-0.010401165230811072,0.07363117238965033,0.026221018077171174,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,4.81,0.017749713410113686,0.002727503122791474,-0.002147057774552181,0.0017935364465930196,-0.002339945631213002
1999-03-04 05:00:00,22.511445424609867,23.10909441818358,22.445039980879457,23.092493057250977,3983200,0.026221018077171174,-0.0007376318669982565,0.020319561958487373,0.00966147037926675,0.12470465531928367,0.0234471814202238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.81,0.0009233217283658071,0.012149950084366907,0.00875743406025105,0.015309483472933533,0.02043688948212228
1999-03-05 05:00:00,23.109100920430727,23.67354735095849,23.109100920430727,23.640344619750977,6123400,0.0234471814202238,0.026202653765769593,0.024132041451621636,0.029156865663200863,0.43003198147009886,0.0007024121802793978,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.81,0.04292912708298629,0.019102185518195303,0.016901352997681748,0.02286277125993248,0.027984221055064963
1999-03-08 05:00:00,23.640354346559757,23.690158463862904,23.22532003570021,23.65695571899414,4713600,0.0007024121802793978,0.0227286625270058,0.0007014279520446997,0.005016545220565736,-0.2616655505297606,-0.016272622667070472,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,4.81,-0.007747823098404037,0.025561458232819217,0.0005477352841049859,0.0056758888239537165,-0.0008703105022868855
1999-03-09 05:00:00,23.45772523240594,23.872759295258135,23.275110244750977,23.275110244750977,4384800,-0.016272622667070472,-0.007755306846248481,0.007678323245300674,0.002141495370199339,-0.07230793253640445,-0.0014276512653336778,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,4.81,0.0212655656378898,-0.0019539165412812373,0.00462782513192734,-0.0022555605772878184,-0.0034859147435506955
