Date,Open,High,Low,Close,Volume,log_return,log_return_open,log_return_high,log_return_low,log_return_volume,log_return_forecast,sma,wma,ema,dema,tema,aroon,rsi,willr,cci,ad,mom,slowk,slowd,macd,fed_funds_rate,^N225,^IXIC,^FTSE,^SPX,^DJI
1999-02-24 05:00:00,47.365626209187056,48.175827710133674,46.05683916919636,46.24380874633789,2147900,-0.03898697619166682,0.003955632287096069,-0.006447023146801474,-0.02274300278716308,-0.12422334347583996,0.0053759793027972555,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,4.76,-0.010063828296924149,-0.015679851240370607,0.02445798628441608,-0.014077780858909051,-0.015282108382447061
1999-02-25 05:00:00,46.11914494082371,46.86702296689113,45.371266914756305,46.49308395385742,2115400,0.0053759793027972555,-0.026668624815744474,-0.02754310237116511,-0.014997250485098736,-0.015246700716265067,0.013316387433781324,1,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,4.76,0.00797897783279119,-0.005383329011501154,-0.016158141057744144,-0.006716254612827944,-0.003552179028762532
1999-02-26 05:00:00,45.58942588170369,47.55260690053304,45.46477946780977,47.1163444519043,2617400,0.013316387433781324,-0.011552354280027266,0.014522318792626263,0.0020589312241634894,0.21293753872742774,-0.007301879966647085,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,4.76,-0.007137154306388065,-0.016811359768258455,-0.005072037444446399,-0.005387947511782114,-0.006400709680128113
1999-03-01 05:00:00,47.116337155438046,47.116337155438046,46.58658997842584,46.7735595703125,1713500,-0.007301879966647085,0.032944000858723524,-0.0092168099655547,0.024374782441370382,-0.4236433963067167,-0.008699049017211987,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,4.81,-0.010199015268773846,0.0031200439014801755,-0.018666804736449463,-0.0017538340747184575,0.0019537168256387747
1999-03-02 05:00:00,46.64889298715899,47.33444786071777,46.368438720703125,46.368438720703125,2283700,-0.008699049017211987,-0.00997060509663734,0.004618513079507287,-0.004693703208536901,0.2872588723228826,-0.001344442687171989,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,4.81,-0.021369712340826075,-0.015875711446640142,6.597851108873706e-05,-0.008660904159638369,-0.0029179863853829244
1999-03-03 05:00:00,46.15033288855573,46.3061408996582,45.68290885524827,46.3061408996582,2133400,-0.001344442687171989,-0.010745022723668545,-0.021963729889907708,-0.014894785518279531,-0.06807998344616374,0.017345371671031198,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,4.81,0.017749713410113686,0.002727503122791474,-0.002147057774552181,0.0017935364465930196,-0.002339945631213002
1999-03-04 05:00:00,45.96336512338547,47.1163444519043,45.43361786433629,47.1163444519043,2130800,0.017345371671031198,-0.004059505284621647,0.017345371671031198,-0.005471929668736003,-0.0012194551485384213,0.030610457450859677,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,4.81,0.0009233217283658071,0.012149950084366907,0.00875743406025105,0.015309483472933533,0.02043688948212228
1999-03-05 05:00:00,47.73953571038188,48.73670616908437,47.55256624937516,48.58089828491211,2254800,0.030610457450859677,0.03791522665917809,0.03381250949833964,0.04558344440836032,0.05656378116457576,-0.0012834109719630396,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.81,0.048882641583638524,0.019102185518195303,0.016901352997681748,0.02286277125993248,0.027984221055064963
1999-03-08 05:00:00,48.14464999072124,48.67439694854795,47.89535730468515,48.51858901977539,1400300,-0.0012834109719630396,0.008450125283124303,-0.0012793044538099445,0.007182817946008825,-0.47637477784568866,-0.018801373607448706,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,4.81,-0.007747823098404037,0.025561458232819217,0.0005477352841049859,0.0056758888239537165,-0.0008703105022868855
1999-03-09 05:00:00,47.36560222366093,48.33161121638033,47.0851479999682,47.61489486694336,2971300,-0.018801373607448706,-0.016313746991439927,-0.007067338723008756,-0.01706095276577257,0.7523130681054553,-0.03937783865512552,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,4.81,0.0212655656378898,-0.0019539165412812373,0.00462782513192734,-0.0022555605772878184,-0.0034859147435506955
1999-03-10 05:00:00,47.30327692934248,47.33443850834731,45.34009745203775,45.77635955810547,3751500,-0.03937783865512552,-0.001316700987283755,-0.02084770568330303,-0.03776582776968357,0.23315619251859687,0.010833028766640234,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,4.81,0.025072678333641445,0.0054429065566420866,0.0006089821054974068,0.005454530788181005,0.008124738241578175
1999-03-11 05:00:00,45.963336096869575,46.30611351860894,45.558235507541234,46.27495193481445,3044900,0.010833028766640234,-0.02873553547793752,-0.021964123614350812,0.004799614407848324,-0.20868770010355028,0.02197921853984026,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,4.81,0.001429188071399982,0.0025943043658690304,0.01497979762462836,0.008388521949356046,0.012669087658519707
1999-03-12 05:00:00,46.43077433187814,47.36562213721797,46.2749663643215,47.30329895019531,2346900,0.02197921853984026,0.010118441986649795,0.022622700383682696,0.015609722748141217,-0.26037275152308853,0.01763084395248888,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,4.81,-0.0008569776830502001,-0.012816771334551523,-0.00848006703951613,-0.0023840798458280715,-0.002133210504289108
1999-03-15 05:00:00,46.92938857587796,48.33166114288626,46.835903738077405,48.14469146728515,1673900,0.01763084395248888,0.010681621996552313,0.020190161912435035,0.012048951092392917,-0.33793907525057026,-0.026231077957855307,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,4.81,0.01859686324899497,0.020740499749215824,-0.01207483493439287,0.009739334869484768,0.008310552172942859
1999-03-16 05:00:00,47.80191058288777,48.082365077833,46.804739045304714,46.898223876953125,2048700,-0.026231077957855307,0.018421507758376872,-0.0051713766223637336,-0.0006656232378802142,0.20204921252657893,-0.05813684686089194,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,4.81,0.018411724263134976,0.0032151718878646062,-0.0007897527886261766,-0.0006733941255370548,-0.002845742204505819
1999-03-17 05:00:00,44.87268238336268,45.24662140322403,44.218289098605304,44.24945068359375,5269400,-0.051913269629311115,-0.05127981303713704,-0.046809483211458267,-0.04879856290688613,0.9447110584262148,0.0007042512347885023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,4.81,0.012077105311428893,-0.004231535100190879,-0.009933207813206857,-0.006574064652108874,-0.005154971527820993
1999-03-18 05:00:00,43.4392613646516,44.654563511869256,42.87835268132037,44.28062438964844,6110300,0.0007042512347885023,-0.03246552751658292,-0.013171493823575308,-0.03077138493375949,0.14805936773524933,-0.01560279073471959,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,4.81,-0.03440531361896989,0.013896575668561256,-0.004292215123107633,0.01432882341633394,0.01189426719589014
1999-03-19 05:00:00,44.62341810312333,44.62341810312333,43.50160032958112,43.59508514404297,3334200,-0.01560279073471959,0.026895118897021574,-0.0006977176106810385,0.014430627525928776,-0.6057431012826867,-0.02753865075658991,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4.81,0.041185153516688944,-0.01707165882159116,0.007965896836979151,-0.013196724322540323,-0.009453817387968036
1999-03-22 05:00:00,43.15879338283385,43.59505555421268,42.25510745640628,42.41091537475586,2638300,-0.02753865075658991,-0.03337260764172685,-0.023315051597684457,-0.029072493564551743,-0.23409800018552754,-0.010339416308574283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,4.81,0.0,-0.010516590219671034,-0.0016889238546976516,-0.0017563685553442677,-0.0013175711533685898
1999-03-23 05:00:00,42.75371032125789,43.12764947858667,41.16446890261055,41.97467041015625,2979400,-0.010339416308574283,-0.009430200403080504,-0.010779428555338765,-0.026149754045487698,0.12158716761708956,0.01766043056651878,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,4.81,-0.022204875369372355,-0.030985000947104522,-0.015114926088599177,-0.027252918338161458,-0.022358143121661248
1999-03-24 05:00:00,41.94350576922461,42.909515188872426,41.694213015767104,42.7225456237793,2143800,0.01766043056651878,-0.019132370666589068,-0.005070710034391462,0.012786863580416846,-0.32914198268807343,0.009438100161352308,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,4.81,-0.03194416281928161,0.018105807755972682,-0.007253336205060108,0.005097315942202638,-0.0005160886975082759
