Date,Open,High,Low,Close,Volume,log_return,log_return_open,log_return_high,log_return_low,log_return_forecast,sma,wma,ema,dema,tema,aroon,rsi,willr,cci,ad,mom,slowk,slowd,macd,fed_funds_rate,^N225,^IXIC,^FTSE,^SPX,^DJI
1999-02-24 05:00:00,9544.23046875,9600.1298828125,9391.1396484375,9399.669921875,82630000,-0.015282108382447061,-0.0009687025585013626,-0.0011659911952756666,-0.008704352309968943,-0.003552179028762532,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,4.76,-0.010063828296924149,-0.015679851240370607,0.02445798628441608,-0.014077780858909051,-0.015282108382447061
1999-02-25 05:00:00,9395.66015625,9396.1904296875,9233.3203125,9366.33984375,80780000,-0.003552179028762532,-0.015688935367921746,-0.021472294148920025,-0.016947939840704047,-0.006400709680128113,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,4.76,0.00797897783279119,-0.005383329011501154,-0.016158141057744144,-0.006716254612827944,-0.003552179028762532
1999-02-26 05:00:00,9365.259765625,9398.400390625,9252.51953125,9306.580078125,81460000,-0.006400709680128113,-0.0032408237292602324,0.00023516989210498529,0.0020771818662817265,0.0019537168256387747,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,4.76,-0.007137154306388065,-0.016811359768258455,-0.005072037444446399,-0.005387947511782114,-0.006400709680128113
1999-03-01 05:00:00,9307.3896484375,9355.2099609375,9222.6298828125,9324.7802734375,104740000,0.0019537168256387747,-0.006198402935320257,-0.004606100397637094,-0.0032356625481196185,-0.0029179863853829244,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,4.81,-0.010199015268773846,0.0031200439014801755,-0.018666804736449463,-0.0017538340747184575,0.0019537168256387747
1999-03-02 05:00:00,9324.240234375,9421.2197265625,9268.0,9297.6103515625,79710000,-0.0029179863853829244,0.0018088155075874556,0.007031159668612278,0.004907372926334739,-0.002339945631213002,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,4.81,-0.021369712340826075,-0.015875711446640142,6.597851108873706e-05,-0.008660904159638369,-0.0029179863853829244
1999-03-03 05:00:00,9296.4404296875,9337.0,9211.23046875,9275.8798828125,74640000,-0.002339945631213002,-0.002985908608120284,-0.008979561354275032,-0.006144163842419612,0.02043688948212228,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,4.81,0.017749713410113686,0.002727503122791474,-0.002147057774552181,0.0017935364465930196,-0.002339945631213002
1999-03-04 05:00:00,9275.7197265625,9480.7099609375,9275.7197265625,9467.400390625,110950000,0.02043688948212228,-0.00223137336185827,0.015274202355247131,0.006976761306389782,0.027984221055064963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.81,0.0009233217283658071,0.012149950084366907,0.00875743406025105,0.015309483472933533,0.02043688948212228
1999-03-05 05:00:00,9467.669921875,9738.7900390625,9467.669921875,9736.080078125,97210000,0.027984221055064963,0.020482624512567084,0.026857680111780535,0.020482624512567084,-0.0008703105022868855,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.81,0.048882641583638524,0.019102185518195303,0.016901352997681748,0.02286277125993248,0.027984221055064963
1999-03-08 05:00:00,9737.1904296875,9764.7998046875,9674.330078125,9727.6103515625,78540000,-0.0008703105022868855,0.028069790585145506,0.0026671788375870974,0.02159316540074161,-0.0034859147435506955,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,4.81,-0.007747823098404037,0.025561458232819217,0.0005477352841049859,0.0056758888239537165,-0.0008703105022868855
1999-03-09 05:00:00,9725.3896484375,9798.9296875,9669.8896484375,9693.759765625,96620000,-0.0034859147435506955,-0.001212663752572375,0.0034891013444445325,-0.00045909629111529375,0.008124738241578175,1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,4.81,0.0212655656378898,-0.0019539165412812373,0.00462782513192734,-0.0022555605772878184,-0.0034859147435506955
1999-03-10 05:00:00,9695.98046875,9776.169921875,9675.7197265625,9772.83984375,90040000,0.008124738241578175,-0.0030285404159026493,-0.00232538033880719,0.0006027288351051354,0.012669087658519707,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,4.81,0.025072678333641445,0.0054429065566420866,0.0006089821054974068,0.005454530788181005,0.008124738241578175
1999-03-11 05:00:00,9769.9599609375,9935.4599609375,9769.9599609375,9897.4404296875,97870000,0.012669087658519707,0.007600952918933854,0.016162388144473835,0.00969274139087296,-0.002133210504289108,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,4.81,0.001429188071399982,0.0025943043658690304,0.01497979762462836,0.008388521949356046,0.012669087658519707
1999-03-12 05:00:00,9897.7197265625,9958.76953125,9861.919921875,9876.349609375,97760000,-0.002133210504289108,0.012992032077842355,0.0023433509690129126,0.009368500020036903,0.008310552172942859,1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,4.81,-0.0008569776830502001,-0.012816771334551523,-0.00848006703951613,-0.0023840798458280715,-0.002133210504289108
1999-03-15 05:00:00,9876.080078125,9970.150390625,9862.48046875,9958.76953125,78860000,0.008310552172942859,-0.002188720153937238,0.001142145249898743,5.683791284406159e-05,-0.002845742204505819,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,1,4.81,0.01859686324899497,0.020740499749215824,-0.01207483493439287,0.009739334869484768,0.008310552172942859
1999-03-16 05:00:00,9957.66015625,10001.7802734375,9926.580078125,9930.4697265625,74480000,-0.002845742204505819,0.008226440120063289,0.003167436317382483,0.006478309913032488,-0.005154971527820993,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,4.81,0.018411724263134976,0.0032151718878646062,-0.0007897527886261766,-0.0006733941255370548,-0.002845742204505819
1999-03-17 05:00:00,9931.1298828125,9960.7099609375,9859.150390625,9879.41015625,84570000,-0.005154971527820993,-0.002667863567482096,-0.00411475421806267,-0.0068160181056656655,0.01189426719589014,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,4.81,0.012077105311428893,-0.004231535100190879,-0.009933207813206857,-0.006574064652108874,-0.005154971527820993
1999-03-18 05:00:00,9873.900390625,10001.509765625,9845.830078125,9997.6201171875,86480000,0.01189426719589014,-0.005779304619861821,0.0040877078859854485,-0.0013519743955157481,-0.009453817387968036,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,4.81,-0.03440531361896989,0.013896575668561256,-0.004292215123107633,0.01432882341633394,0.01189426719589014
1999-03-19 05:00:00,10001.23046875,10085.3095703125,9899.9404296875,9903.5498046875,117430000,-0.009453817387968036,0.012813180560504237,0.008343808888606252,0.0054807166921547095,-0.0013175711533685898,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,4.81,0.041185153516688944,-0.01707165882159116,0.007965896836979151,-0.013196724322540323,-0.009453817387968036
1999-03-22 05:00:00,9902.2802734375,9934.6298828125,9874.9697265625,9890.509765625,61210000,-0.0013175711533685898,-0.009943071030634873,-0.015053245608397948,-0.0025254948012285484,-0.022358143121661248,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,4.81,0.0,-0.010516590219671034,-0.0016889238546976516,-0.0017563685553442677,-0.0013175711533685898
1999-03-23 05:00:00,9890.23046875,9891.0595703125,9632.7099609375,9671.830078125,87510000,-0.022358143121661248,-0.0012176126953464272,-0.0043953460229272535,-0.024838650698714677,-0.0005160886975082759,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,4.81,-0.022204875369372355,-0.030985000947104522,-0.015114926088599177,-0.027252918338161458,-0.022358143121661248
1999-03-24 05:00:00,9671.5595703125,9703.1904296875,9625.2099609375,9666.83984375,72990000,-0.0005160886975082759,-0.022357872865934603,-0.019176533710740868,-0.000778900359914704,0.017387282062636476,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,4.81,-0.03194416281928161,0.018105807755972682,-0.007253336205060108,0.005097315942202638,-0.0005160886975082759
1999-03-25 05:00:00,9664.900390625,9841.9404296875,9664.900390625,9836.3896484375,80470000,0.017387282062636476,-0.0006887692953326046,0.014198148054866796,0.004115112352851308,-0.0014395119690647693,-1,1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,4.81,0.029878270751096066,0.0289682171350361,0.011287757716120844,0.016728438297045976,0.017387282062636476
1999-03-26 05:00:00,9836.3896484375,9853.3203125,9747.3095703125,9822.240234375,66210000,-0.0014395119690647693,0.017587931679069583,0.0011555961840625235,0.00849049901233148,0.018613664458948347,-1,1,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,4.81,0.0019342046485699912,-0.006440163853496231,0.008867745885058393,-0.005589231934668773,-0.0014395119690647693
1999-03-29 05:00:00,9821.6103515625,10040.3603515625,9821.6103515625,10006.7802734375,69040000,0.018613664458948347,-0.0015036422484069653,0.018804519263185052,0.007593790418331062,-0.009389659331661653,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,4.81,-0.00050898857460224,0.029998184197471654,0.01835086819129515,0.021111706427016097,0.018613664458948347
