,Validation set,Validation set,Validation set,Validation set,Validation set,Validation set,Validation set,Validation set,Validation set,Test set,Test set,Test set,Test set,Test set,Test set,Test set,Test set,Test set,Hyperparameters
,R2,MSE,RMSE,MAE,p,Accuracy,Avg. daily return,Std. daily return,Risk adj. return,R2,MSE,RMSE,MAE,p,Accuracy,Avg. daily return,Std. daily return,Risk adj. return,
Linear_NVDA,-0.020329095434398425,0.0016073778917075321,0.040092117575747134,0.03229121237639203,-0.021760667042970364,45.0199203187251,-0.0030236775998860876,0.03134156459369944,-0.09647500496812894,-0.03183255501839066,0.0008937874885928524,0.029896278841903594,0.021228794167432178,-0.0500951145705456,48.8,0.0027963446257419644,0.024828983559238897,0.11262420868217302,{}
Linear_JPM,-0.05145637103800538,0.0003681237416215208,0.019186551061134482,0.01493892788702163,-0.0509916872174798,46.613545816733065,-0.00093825296873562,0.014497010631033178,-0.06472044427746634,-0.038368574972093006,0.00017654053228258394,0.013286855620596769,0.009533037511442747,-0.019700032111170378,50.8,0.0006311935194054374,0.008217211927816248,0.07681358652425303,{}
Linear_HD,3.921739718137918e-05,0.0003899208081015255,0.019746412537509833,0.015144991183982638,0.09346435209729413,52.589641434262944,0.0006162246279086681,0.016215912117569776,0.038001231348620525,-0.02070495882710821,0.0001869632091395702,0.013673449057921347,0.010181904009089,0.025899079392842576,46.400000000000006,-6.145471284202397e-05,0.006998568911663696,-0.008781039897971797,{}
Linear_UNH,-0.010924217123215119,0.00023882315373784013,0.015453904158426767,0.011976852117659205,0.006770990124558097,47.808764940239044,-0.00014321413906626113,0.011965171549876466,-0.011969250793377864,0.014540459521671933,0.00017505049932112432,0.01323066511257557,0.009172878162662634,0.13930520987613462,50.4,0.000267141036746521,0.006822989351730047,0.039153078361288125,{}
ARIMA_NVDA,-1.2427494476189604,0.0035331207302357823,0.05944005997839994,0.047264281356680565,0.019769933267407877,56.97211155378486,-0.00037700435046850167,0.02540947486418731,-0.01483715631604257,-1.106600721888157,0.0018247663921117,0.04271728446556148,0.033452793955609295,-0.006427207545341718,48.8,0.0013890974868067119,0.01824225792460961,0.07614723421560432,"{'p': 20, 'q': 8}"
ARIMA_JPM,-1.0234980567341303,0.0007084437322620206,0.026616606325037394,0.020962623538456706,0.10237679991061895,52.98804780876494,0.00033627708023797886,0.011379471877916604,0.029551202713596028,-1.1952289359719472,0.00037322670791441615,0.019319076269698202,0.01490637953086949,-0.013374958689216343,48.8,0.00046149069360579276,0.009841569625521551,0.04689198076788856,"{'p': 20, 'q': 11}"
ARIMA_HD,-0.789178904441473,0.0006976654448808728,0.026413357319372954,0.02079740017513895,0.018602151894473756,52.98804780876494,-0.0005023472734724255,0.013084868019535472,-0.038391466595034056,-0.8430698322320629,0.00033759633234112994,0.01837379471805239,0.014546378111082874,0.02790266489064078,46.800000000000004,0.0003161833843505768,0.009145269893639469,0.034573433920247906,"{'p': 10, 'q': 3}"
ARIMA_UNH,-1.0503554611676336,0.0004843808756635759,0.022008654562775433,0.017529764384525744,-0.017599061322372565,47.01195219123506,-0.0006802672380480379,0.010505402634396609,-0.0647540376815943,-0.8972338385692082,0.0003370120407066849,0.01835788769730017,0.013607364718223035,-0.010325835476242459,50.8,0.00017577156338033362,0.0079362345569874,0.022147979891241603,"{'p': 17, 'q': 20}"
RandomForest_NVDA,-0.12410315071946942,0.0017708585990052525,0.04208157077635354,0.03388555684817775,0.02674416251440692,50.59760956175299,-0.0012256883022171428,0.026776014559923424,-0.045775606353742886,-0.3430182654488587,0.0011633408122003572,0.03410778228205928,0.023939247009905226,-0.07819420529847723,50.0,0.0021373447782457866,0.01710007931948167,0.12499034292845448,"{'n_estimators': 500, 'max_features': 0.9296668147924003, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': False}"
RandomForest_JPM,-0.015195316523967772,0.0003554284406746335,0.01885280988804145,0.014643490252490116,0.058829204486091295,50.99601593625498,-0.00011836286710609212,0.014123289070591384,-0.008380687141252141,-0.0210985341849792,0.0001736043280612833,0.013175899516210773,0.009479152974585858,0.01333556746097603,46.0,0.0003495854767985307,0.010808886822428565,0.03234241254826878,"{'n_estimators': 100, 'max_features': 0.12974133853009717, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 5, 'bootstrap': True}"
RandomForest_HD,-0.00649992655714815,0.00039247065639490313,0.019810872176532338,0.015070078149302708,0.05906574754547063,54.18326693227091,0.0005600591052874471,0.014049636573639175,0.039862889146774494,-0.028974544987825146,0.0001884779547607147,0.01372872735400899,0.00999049795822773,-0.02777156997974053,53.2,0.0007296985070457396,0.00799596263871974,0.09125836875628197,"{'n_estimators': 1000, 'max_features': 0.9284225971184672, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 20, 'bootstrap': True}"
RandomForest_UNH,0.0005354667836251492,0.00023611589061651677,0.015366062951078807,0.011930987674315557,0.09880875079557364,50.99601593625498,0.0003610770168265276,0.010222324895034614,0.03532239686511206,-0.011346174091192651,0.0001796488292916023,0.013403314115979014,0.00927566466514355,0.06331355894439679,52.0,0.000261062785604782,0.007384267117778897,0.03535391954825528,"{'n_estimators': 400, 'max_features': 0.490823165349062, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 5, 'bootstrap': True}"
CNN_NVDA,-0.006424940183784589,0.0015854739473304578,0.039818010338670336,0.032029202465158814,n/a,48.20717131474104,-0.002955703409748711,0.03980579334923974,-0.07425309637259529,-0.024790226306907304,0.0008876873270285861,0.029794082080651287,0.021156703029490333,n/a,56.8,0.00486712881424145,0.030533912116631347,0.1594007605592865,"{'sequence_len': 5, 'batch_size': 1024, 'kernel_size': 4, 'out_channels': 16, 'weight_decay': 0.01, 'delta': 0.025}"
CNN_JPM,-0.47713115444485243,0.0005171560726795966,0.022741065777126555,0.017613487853100865,-0.042596324288483874,47.410358565737056,-0.0006334719023536328,0.011897102337233526,-0.05324589840427785,-0.5282366490486885,0.00025982653749325845,0.016119135755159407,0.011989925798241286,-0.05381878637422969,46.0,0.00030051938764685815,0.009254223139828445,0.032473756371129515,"{'sequence_len': 10, 'batch_size': 128, 'kernel_size': 8, 'out_channels': 16, 'weight_decay': 1e-05, 'delta': 0.2}"
CNN_HD,-0.020311965168967605,0.00039785646886950017,0.019946339736139566,0.01504334500664292,-0.003575310069899618,54.581673306772906,-0.0002252072990892584,0.012501075369821315,-0.01801503410122048,-0.09337349152394725,0.0002002739528162512,0.014151818003926252,0.010325901437882201,-0.12978881524556526,47.599999999999994,-0.0005168481363877486,0.009217132357046137,-0.05607472219845454,"{'sequence_len': 10, 'batch_size': 512, 'kernel_size': 5, 'out_channels': 32, 'weight_decay': 0, 'delta': 0.05}"
